Yıl,Eğitim Durumu,İşsizlik Oranı (%)
2005,İlkokul altı,15.2
2006,İlkokul altı,15.8
2007,İlkokul altı,16.1
2008,İlkokul altı,15.9
2009,İlkokul altı,15.6
2010,İlkokul altı,15.4
2011,İlkokul altı,15.0
2012,İlkokul altı,14.7
2013,İlkokul altı,14.4
2014,İlkokul altı,14.2
2015,İlkokul altı,13.8
2016,İlkokul altı,13.5
2017,İlkokul altı,13.2
2018,İlkokul altı,13.0
2019,İlkokul altı,12.7
2005,Lise,18.4
2006,Lise,18.9
2007,Lise,19.2
2008,Lise,18.8
2009,Lise,18.3
2010,Lise,18.0
2011,Lise,17.6
2012,Lise,17.3
2013,Lise,17.0
2014,Lise,16.5
2015,Lise,16.2
2016,Lise,15.8
2017,Lise,15.4
2018,Lise,15.0
2019,Lise,14.7
2005,Lisans,21.0
2006,Lisans,20.5
2007,Lisans,20.1
2008,Lisans,19.6
2009,Lisans,19.0
2010,Lisans,18.4
2011,Lisans,17.8
2012,Lisans,17.3
2013,Lisans,16.7
2014,Lisans,16.2
2015,Lisans,15.6
2016,Lisans,15.0
2017,Lisans,14.5
2018,Lisans,14.0
2019,Lisans,13.5
