Yıl,Eğitim Durumu,İşsizlik Oranı (%)
2020,İlkokul altı,25.1
2020,Ortaokul,24.3
2020,Lise,19.8
2020,Önlisans,16.5
2020,Lisans,15.2
2020,Yüksek Lisans ve üzeri,12.8
2021,İlkokul altı,26.4
2021,Ortaokul,23.9
2021,Lise,20.1
2021,Önlisans,17.0
2021,Lisans,14.7
2021,Yüksek Lisans ve üzeri,13.1
2022,İlkokul altı,24.8
2022,Ortaokul,22.5
2022,Lise,18.6
2022,Önlisans,15.7
2022,Lisans,13.8
2022,Yüksek Lisans ve üzeri,11.9
2023,İlkokul altı,23.3
2023,Ortaokul,21.4
2023,Lise,17.3
2023,Önlisans,14.6
2023,Lisans,12.2
2023,Yüksek Lisans ve üzeri,10.5
